line_2,506,608841,140073
line_2,607,1079186,947840
line_2,708,2960789,2323675
line_2,809,3914929,5683879
line_2,910,2419350,3681729
line_2,1011,1810982,2227083
line_2,1112,1847789,1957278
line_2,1213,1990964,2048620
line_2,1314,2256231,2258128
line_2,1415,2263081,2277321
line_2,1516,2445765,2320157
line_2,1617,2694321,2509341
line_2,1718,3306132,2906478
line_2,1819,4810661,3920994
line_2,1920,3565184,3795179
line_2,2021,2732977,2483388
line_2,2122,2716860,2186050
line_2,2223,2584664,2235893
line_2,2324,1212806,1555272
line_2,2401,172373,524783
